date,location,vaccine,total_vaccinations
2021-06-26,Malta,Oxford/AstraZeneca,1726
2021-06-26,Malta,Moderna,134
2021-06-27,Malta,Oxford/AstraZeneca,1726
2021-06-27,Malta,Moderna,134
2021-06-28,Malta,Oxford/AstraZeneca,1726
2021-06-28,Malta,Moderna,134
2021-06-29,Malta,Oxford/AstraZeneca,1726
2021-06-29,Malta,Moderna,134
2021-06-30,Malta,Oxford/AstraZeneca,1726
2021-06-30,Malta,Moderna,134
2021-07-01,Malta,Oxford/AstraZeneca,1726
2021-07-01,Malta,Moderna,134
2021-07-02,Malta,Oxford/AstraZeneca,816
2021-07-02,Malta,Moderna,37
2021-07-03,Malta,Oxford/AstraZeneca,816
2021-07-03,Malta,Moderna,37
2021-07-04,Malta,Oxford/AstraZeneca,816
2021-07-04,Malta,Moderna,37
2021-07-05,Malta,Oxford/AstraZeneca,816
2021-07-05,Malta,Moderna,37
2021-07-06,Malta,Oxford/AstraZeneca,816
2021-07-06,Malta,Moderna,37
2021-07-07,Malta,Oxford/AstraZeneca,816
2021-07-07,Malta,Moderna,37
2021-07-08,Malta,Oxford/AstraZeneca,816
2021-07-08,Malta,Moderna,37
2021-07-09,Malta,Oxford/AstraZeneca,390
2021-07-09,Malta,Moderna,46
2021-07-10,Malta,Oxford/AstraZeneca,390
2021-07-10,Malta,Moderna,46
2021-07-11,Malta,Oxford/AstraZeneca,390
2021-07-11,Malta,Moderna,46
2021-07-12,Malta,Oxford/AstraZeneca,390
2021-07-12,Malta,Moderna,46
2021-07-13,Malta,Oxford/AstraZeneca,390
2021-07-13,Malta,Moderna,46
2021-07-14,Malta,Oxford/AstraZeneca,390
2021-07-14,Malta,Moderna,46
2021-07-15,Malta,Oxford/AstraZeneca,390
2021-07-15,Malta,Moderna,46
2021-07-16,Malta,Oxford/AstraZeneca,447
2021-07-16,Malta,Moderna,29
2021-07-17,Malta,Oxford/AstraZeneca,447
2021-07-17,Malta,Moderna,29
2021-07-18,Malta,Oxford/AstraZeneca,447
2021-07-18,Malta,Moderna,29
2021-07-19,Malta,Oxford/AstraZeneca,447
2021-07-19,Malta,Moderna,29
2021-07-20,Malta,Oxford/AstraZeneca,447
2021-07-20,Malta,Moderna,29
2021-07-21,Malta,Oxford/AstraZeneca,447
2021-07-21,Malta,Moderna,29
2021-07-22,Malta,Oxford/AstraZeneca,447
2021-07-22,Malta,Moderna,29
2021-07-23,Malta,Oxford/AstraZeneca,71
2021-07-23,Malta,Moderna,23
2021-07-24,Malta,Oxford/AstraZeneca,71
2021-07-24,Malta,Moderna,23
2021-07-25,Malta,Oxford/AstraZeneca,71
2021-07-25,Malta,Moderna,23
2021-07-26,Malta,Oxford/AstraZeneca,71
2021-07-26,Malta,Moderna,23
2021-07-27,Malta,Oxford/AstraZeneca,71
2021-07-27,Malta,Moderna,23
2021-07-28,Malta,Oxford/AstraZeneca,71
2021-07-28,Malta,Moderna,23
2021-07-29,Malta,Oxford/AstraZeneca,71
2021-07-29,Malta,Moderna,23
2021-07-30,Malta,Oxford/AstraZeneca,19
2021-07-30,Malta,Moderna,14
2021-07-31,Malta,Oxford/AstraZeneca,19
2021-07-31,Malta,Moderna,14
2021-08-01,Malta,Oxford/AstraZeneca,19
2021-08-01,Malta,Moderna,14
2021-08-02,Malta,Oxford/AstraZeneca,19
2021-08-02,Malta,Moderna,14
2021-08-03,Malta,Oxford/AstraZeneca,19
2021-08-03,Malta,Moderna,14
2021-08-04,Malta,Oxford/AstraZeneca,19
2021-08-04,Malta,Moderna,14
2021-08-05,Malta,Oxford/AstraZeneca,19
2021-08-05,Malta,Moderna,14
2021-08-06,Malta,Oxford/AstraZeneca,5
2021-08-06,Malta,Moderna,8
2021-08-07,Malta,Oxford/AstraZeneca,5
2021-08-07,Malta,Moderna,8
2021-08-08,Malta,Oxford/AstraZeneca,5
2021-08-08,Malta,Moderna,8
2021-08-09,Malta,Oxford/AstraZeneca,5
2021-08-09,Malta,Moderna,8
2021-08-10,Malta,Oxford/AstraZeneca,5
2021-08-10,Malta,Moderna,8
2021-08-11,Malta,Oxford/AstraZeneca,5
2021-08-11,Malta,Moderna,8
2021-08-12,Malta,Oxford/AstraZeneca,5
2021-08-12,Malta,Moderna,8
2021-08-13,Malta,Oxford/AstraZeneca,3
2021-08-13,Malta,Moderna,7
2021-08-14,Malta,Oxford/AstraZeneca,3
2021-08-14,Malta,Moderna,7
2021-08-15,Malta,Oxford/AstraZeneca,3
2021-08-15,Malta,Moderna,7
2021-08-16,Malta,Oxford/AstraZeneca,3
2021-08-16,Malta,Moderna,7
2021-08-17,Malta,Oxford/AstraZeneca,3
2021-08-17,Malta,Moderna,7
2021-08-18,Malta,Oxford/AstraZeneca,3
2021-08-18,Malta,Moderna,7
2021-08-19,Malta,Oxford/AstraZeneca,3
2021-08-19,Malta,Moderna,7
2021-08-20,Malta,Oxford/AstraZeneca,3
2021-08-20,Malta,Moderna,9
2021-08-21,Malta,Oxford/AstraZeneca,3
2021-08-21,Malta,Moderna,9
2021-08-22,Malta,Oxford/AstraZeneca,3
2021-08-22,Malta,Moderna,9
2021-08-23,Malta,Oxford/AstraZeneca,3
2021-08-23,Malta,Moderna,9
2021-08-24,Malta,Oxford/AstraZeneca,3
2021-08-24,Malta,Moderna,9
2021-08-25,Malta,Oxford/AstraZeneca,3
2021-08-25,Malta,Moderna,9
2021-08-26,Malta,Oxford/AstraZeneca,3
2021-08-26,Malta,Moderna,9
2021-08-27,Malta,Oxford/AstraZeneca,0
2021-08-27,Malta,Moderna,1
2021-08-28,Malta,Oxford/AstraZeneca,0
2021-08-28,Malta,Moderna,1
2021-08-29,Malta,Oxford/AstraZeneca,0
2021-08-29,Malta,Moderna,1
2021-08-30,Malta,Oxford/AstraZeneca,0
2021-08-30,Malta,Moderna,1
2021-08-31,Malta,Oxford/AstraZeneca,0
2021-08-31,Malta,Moderna,1
2021-09-01,Malta,Oxford/AstraZeneca,0
2021-09-01,Malta,Moderna,1
2021-09-02,Malta,Oxford/AstraZeneca,0
2021-09-02,Malta,Moderna,1
2021-09-03,Malta,Oxford/AstraZeneca,0
2021-09-03,Malta,Moderna,0
2021-09-04,Malta,Oxford/AstraZeneca,0
2021-09-04,Malta,Moderna,0
2021-09-05,Malta,Oxford/AstraZeneca,0
2021-09-05,Malta,Moderna,0
2021-09-06,Malta,Oxford/AstraZeneca,0
2021-09-06,Malta,Moderna,0
2021-09-07,Malta,Oxford/AstraZeneca,0
2021-09-07,Malta,Moderna,0
2021-09-08,Malta,Oxford/AstraZeneca,0
2021-09-08,Malta,Moderna,0
2021-09-09,Malta,Oxford/AstraZeneca,0
2021-09-09,Malta,Moderna,0
2021-09-10,Malta,Oxford/AstraZeneca,2
2021-09-10,Malta,Moderna,0
2021-09-11,Malta,Oxford/AstraZeneca,2
2021-09-11,Malta,Moderna,0
2021-09-12,Malta,Oxford/AstraZeneca,2
2021-09-12,Malta,Moderna,0
2021-09-13,Malta,Oxford/AstraZeneca,2
2021-09-13,Malta,Moderna,0
2021-09-14,Malta,Oxford/AstraZeneca,2
2021-09-14,Malta,Moderna,0
2021-09-15,Malta,Oxford/AstraZeneca,2
2021-09-15,Malta,Moderna,0
2021-09-16,Malta,Oxford/AstraZeneca,2
2021-09-16,Malta,Moderna,0
2021-09-17,Malta,Oxford/AstraZeneca,3
2021-09-17,Malta,Moderna,0
2021-09-18,Malta,Oxford/AstraZeneca,3
2021-09-18,Malta,Moderna,0
2021-09-19,Malta,Oxford/AstraZeneca,3
2021-09-19,Malta,Moderna,0
2021-09-20,Malta,Oxford/AstraZeneca,3
2021-09-20,Malta,Moderna,0
2021-09-21,Malta,Oxford/AstraZeneca,3
2021-09-21,Malta,Moderna,0
2021-09-22,Malta,Oxford/AstraZeneca,3
2021-09-22,Malta,Moderna,0
2021-09-23,Malta,Oxford/AstraZeneca,3
2021-09-23,Malta,Moderna,0
2021-09-24,Malta,Oxford/AstraZeneca,4
2021-09-24,Malta,Moderna,1
2021-09-25,Malta,Oxford/AstraZeneca,4
2021-09-25,Malta,Moderna,1
2021-09-26,Malta,Oxford/AstraZeneca,4
2021-09-26,Malta,Moderna,1
2021-09-27,Malta,Oxford/AstraZeneca,4
2021-09-27,Malta,Moderna,1
2021-09-28,Malta,Oxford/AstraZeneca,4
2021-09-28,Malta,Moderna,1
2021-09-29,Malta,Oxford/AstraZeneca,4
2021-09-29,Malta,Moderna,1
2021-09-30,Malta,Oxford/AstraZeneca,4
2021-09-30,Malta,Moderna,1
2021-10-01,Malta,Oxford/AstraZeneca,1
2021-10-01,Malta,Moderna,1
2021-10-02,Malta,Oxford/AstraZeneca,1
2021-10-02,Malta,Moderna,1
2021-10-03,Malta,Oxford/AstraZeneca,1
2021-10-03,Malta,Moderna,1
2021-10-04,Malta,Oxford/AstraZeneca,1
2021-10-04,Malta,Moderna,1
2021-10-05,Malta,Oxford/AstraZeneca,1
2021-10-05,Malta,Moderna,1
2021-10-06,Malta,Oxford/AstraZeneca,1
2021-10-06,Malta,Moderna,1
2021-10-07,Malta,Oxford/AstraZeneca,1
2021-10-07,Malta,Moderna,1
2021-10-08,Malta,Oxford/AstraZeneca,0
2021-10-08,Malta,Moderna,0
2021-10-09,Malta,Oxford/AstraZeneca,0
2021-10-09,Malta,Moderna,0
2021-10-10,Malta,Oxford/AstraZeneca,0
2021-10-10,Malta,Moderna,0
2021-10-11,Malta,Oxford/AstraZeneca,0
2021-10-11,Malta,Moderna,0
2021-10-12,Malta,Oxford/AstraZeneca,0
2021-10-12,Malta,Moderna,0
2021-10-13,Malta,Oxford/AstraZeneca,0
2021-10-13,Malta,Moderna,0
2021-10-14,Malta,Oxford/AstraZeneca,0
2021-10-14,Malta,Moderna,0
2021-10-15,Malta,Oxford/AstraZeneca,0
2021-10-15,Malta,Moderna,196
2021-10-16,Malta,Oxford/AstraZeneca,0
2021-10-16,Malta,Moderna,196
2021-10-17,Malta,Oxford/AstraZeneca,0
2021-10-17,Malta,Moderna,196
2021-10-18,Malta,Oxford/AstraZeneca,0
2021-10-18,Malta,Moderna,196
2021-10-19,Malta,Oxford/AstraZeneca,0
2021-10-19,Malta,Moderna,196
2021-10-20,Malta,Oxford/AstraZeneca,0
2021-10-20,Malta,Moderna,196
2021-10-21,Malta,Oxford/AstraZeneca,0
2021-10-21,Malta,Moderna,196
2021-10-22,Malta,Oxford/AstraZeneca,3
2021-10-22,Malta,Moderna,319
2021-10-23,Malta,Oxford/AstraZeneca,3
2021-10-23,Malta,Moderna,319
2021-10-24,Malta,Oxford/AstraZeneca,3
2021-10-24,Malta,Moderna,319
2021-10-25,Malta,Oxford/AstraZeneca,3
2021-10-25,Malta,Moderna,319
2021-10-26,Malta,Oxford/AstraZeneca,3
2021-10-26,Malta,Moderna,319
2021-10-27,Malta,Oxford/AstraZeneca,3
2021-10-27,Malta,Moderna,319
2021-10-28,Malta,Oxford/AstraZeneca,3
2021-10-28,Malta,Moderna,319
2021-10-29,Malta,Oxford/AstraZeneca,1
2021-10-29,Malta,Moderna,751
2021-10-30,Malta,Oxford/AstraZeneca,1
2021-10-30,Malta,Moderna,751
2021-10-31,Malta,Oxford/AstraZeneca,1
2021-10-31,Malta,Moderna,751
2021-11-01,Malta,Oxford/AstraZeneca,1
2021-11-01,Malta,Moderna,751
2021-11-02,Malta,Oxford/AstraZeneca,1
2021-11-02,Malta,Moderna,751
2021-11-03,Malta,Oxford/AstraZeneca,1
2021-11-03,Malta,Moderna,751
2021-11-04,Malta,Oxford/AstraZeneca,1
2021-11-04,Malta,Moderna,751
2021-11-05,Malta,Oxford/AstraZeneca,1
2021-11-05,Malta,Moderna,1714
2021-11-06,Malta,Oxford/AstraZeneca,1
2021-11-06,Malta,Moderna,1714
2021-11-07,Malta,Oxford/AstraZeneca,1
2021-11-07,Malta,Moderna,1714
2021-11-08,Malta,Oxford/AstraZeneca,1
2021-11-08,Malta,Moderna,1714
2021-11-09,Malta,Oxford/AstraZeneca,1
2021-11-09,Malta,Moderna,1714
2021-11-10,Malta,Oxford/AstraZeneca,1
2021-11-10,Malta,Moderna,1714
