date,location,vaccine,total_vaccinations
2021-08-19,Norway,Oxford/AstraZeneca,13
2021-08-20,Norway,Moderna,27318
2021-08-20,Norway,Oxford/AstraZeneca,13
2021-08-21,Norway,Moderna,27318
2021-08-21,Norway,Oxford/AstraZeneca,13
2021-08-22,Norway,Moderna,27318
2021-08-22,Norway,Oxford/AstraZeneca,13
2021-08-23,Norway,Moderna,27318
2021-08-23,Norway,Oxford/AstraZeneca,13
2021-08-24,Norway,Moderna,27318
2021-08-24,Norway,Oxford/AstraZeneca,13
2021-08-25,Norway,Moderna,27318
2021-08-25,Norway,Oxford/AstraZeneca,13
2021-08-26,Norway,Moderna,27318
2021-08-26,Norway,Oxford/AstraZeneca,13
2021-08-27,Norway,Moderna,31141
2021-08-27,Norway,Oxford/AstraZeneca,11
2021-08-28,Norway,Moderna,31141
2021-08-28,Norway,Oxford/AstraZeneca,11
2021-08-29,Norway,Moderna,31141
2021-08-29,Norway,Oxford/AstraZeneca,11
2021-08-30,Norway,Moderna,31141
2021-08-30,Norway,Oxford/AstraZeneca,11
2021-08-31,Norway,Moderna,31141
2021-08-31,Norway,Oxford/AstraZeneca,11
2021-09-01,Norway,Moderna,31141
2021-09-01,Norway,Oxford/AstraZeneca,11
2021-09-02,Norway,Moderna,31141
2021-09-02,Norway,Oxford/AstraZeneca,11
2021-09-03,Norway,Moderna,19047
2021-09-03,Norway,Oxford/AstraZeneca,11
2021-09-04,Norway,Moderna,19047
2021-09-04,Norway,Oxford/AstraZeneca,11
2021-09-05,Norway,Moderna,19047
2021-09-05,Norway,Oxford/AstraZeneca,11
2021-09-06,Norway,Moderna,19047
2021-09-06,Norway,Oxford/AstraZeneca,11
2021-09-07,Norway,Moderna,19047
2021-09-07,Norway,Oxford/AstraZeneca,11
2021-09-08,Norway,Moderna,19047
2021-09-08,Norway,Oxford/AstraZeneca,11
2021-09-09,Norway,Moderna,19047
2021-09-09,Norway,Oxford/AstraZeneca,11
2021-09-10,Norway,Moderna,9405
2021-09-10,Norway,Oxford/AstraZeneca,6
2021-09-11,Norway,Moderna,9405
2021-09-11,Norway,Oxford/AstraZeneca,6
2021-09-12,Norway,Moderna,9405
2021-09-12,Norway,Oxford/AstraZeneca,6
2021-09-13,Norway,Moderna,9405
2021-09-13,Norway,Oxford/AstraZeneca,6
2021-09-14,Norway,Moderna,9405
2021-09-14,Norway,Oxford/AstraZeneca,6
2021-09-15,Norway,Moderna,9405
2021-09-15,Norway,Oxford/AstraZeneca,6
2021-09-16,Norway,Moderna,9405
2021-09-16,Norway,Oxford/AstraZeneca,6
2021-09-17,Norway,Moderna,6075
2021-09-17,Norway,Oxford/AstraZeneca,7
2021-09-18,Norway,Moderna,6075
2021-09-18,Norway,Oxford/AstraZeneca,7
2021-09-19,Norway,Moderna,6075
2021-09-19,Norway,Oxford/AstraZeneca,7
2021-09-20,Norway,Moderna,6075
2021-09-20,Norway,Oxford/AstraZeneca,7
2021-09-21,Norway,Moderna,6075
2021-09-21,Norway,Oxford/AstraZeneca,7
2021-09-22,Norway,Moderna,6075
2021-09-22,Norway,Oxford/AstraZeneca,7
2021-09-23,Norway,Moderna,6075
2021-09-23,Norway,Oxford/AstraZeneca,7
2021-09-24,Norway,Moderna,4445
2021-09-24,Norway,Oxford/AstraZeneca,6
2021-09-25,Norway,Moderna,4445
2021-09-25,Norway,Oxford/AstraZeneca,6
2021-09-26,Norway,Moderna,4445
2021-09-26,Norway,Oxford/AstraZeneca,6
2021-09-27,Norway,Moderna,4445
2021-09-27,Norway,Oxford/AstraZeneca,6
2021-09-28,Norway,Moderna,4445
2021-09-28,Norway,Oxford/AstraZeneca,6
2021-09-29,Norway,Moderna,4445
2021-09-29,Norway,Oxford/AstraZeneca,6
2021-09-30,Norway,Moderna,4445
2021-09-30,Norway,Oxford/AstraZeneca,6
2021-10-01,Norway,Moderna,1891
2021-10-01,Norway,Oxford/AstraZeneca,5
2021-10-02,Norway,Moderna,1891
2021-10-02,Norway,Oxford/AstraZeneca,5
2021-10-03,Norway,Moderna,1891
2021-10-03,Norway,Oxford/AstraZeneca,5
2021-10-04,Norway,Moderna,1891
2021-10-04,Norway,Oxford/AstraZeneca,5
2021-10-05,Norway,Moderna,1891
2021-10-05,Norway,Oxford/AstraZeneca,5
2021-10-06,Norway,Moderna,1891
2021-10-06,Norway,Oxford/AstraZeneca,5
2021-10-07,Norway,Moderna,1891
2021-10-07,Norway,Oxford/AstraZeneca,5
2021-10-08,Norway,Moderna,969
2021-10-08,Norway,Oxford/AstraZeneca,3
2021-10-09,Norway,Moderna,969
2021-10-09,Norway,Oxford/AstraZeneca,3
2021-10-10,Norway,Moderna,969
2021-10-10,Norway,Oxford/AstraZeneca,3
2021-10-11,Norway,Moderna,969
2021-10-11,Norway,Oxford/AstraZeneca,3
2021-10-12,Norway,Moderna,969
2021-10-12,Norway,Oxford/AstraZeneca,3
2021-10-13,Norway,Moderna,969
2021-10-13,Norway,Oxford/AstraZeneca,3
2021-10-14,Norway,Moderna,969
2021-10-14,Norway,Oxford/AstraZeneca,3
2021-10-15,Norway,Moderna,699
2021-10-15,Norway,Oxford/AstraZeneca,3
2021-10-16,Norway,Moderna,699
2021-10-16,Norway,Oxford/AstraZeneca,3
2021-10-17,Norway,Moderna,699
2021-10-17,Norway,Oxford/AstraZeneca,3
2021-10-18,Norway,Moderna,699
2021-10-18,Norway,Oxford/AstraZeneca,3
2021-10-19,Norway,Moderna,699
2021-10-19,Norway,Oxford/AstraZeneca,3
2021-10-20,Norway,Moderna,699
2021-10-20,Norway,Oxford/AstraZeneca,3
2021-10-21,Norway,Moderna,699
2021-10-21,Norway,Oxford/AstraZeneca,3
2021-10-22,Norway,Moderna,666
2021-10-22,Norway,Oxford/AstraZeneca,4
2021-10-23,Norway,Moderna,666
2021-10-23,Norway,Oxford/AstraZeneca,4
2021-10-24,Norway,Moderna,666
2021-10-24,Norway,Oxford/AstraZeneca,4
2021-10-25,Norway,Moderna,666
2021-10-25,Norway,Oxford/AstraZeneca,4
2021-10-26,Norway,Moderna,666
2021-10-26,Norway,Oxford/AstraZeneca,4
2021-10-27,Norway,Moderna,666
2021-10-27,Norway,Oxford/AstraZeneca,4
2021-10-28,Norway,Moderna,666
2021-10-28,Norway,Oxford/AstraZeneca,4
2021-10-29,Norway,Moderna,457
