date,location,vaccine,total_vaccinations
2021-04-09,Italy,Pfizer/BioNTech,219716
2021-04-09,Italy,Johnson&Johnson,5
2021-04-09,Italy,Oxford/AstraZeneca,61274
2021-04-10,Italy,Pfizer/BioNTech,147076
2021-04-10,Italy,Johnson&Johnson,4
2021-04-10,Italy,Oxford/AstraZeneca,37628
2021-04-11,Italy,Pfizer/BioNTech,164636
2021-04-11,Italy,Johnson&Johnson,7
2021-04-11,Italy,Oxford/AstraZeneca,78991
2021-04-12,Italy,Pfizer/BioNTech,166377
2021-04-12,Italy,Johnson&Johnson,8
2021-04-12,Italy,Oxford/AstraZeneca,95997
2021-04-13,Italy,Pfizer/BioNTech,194143
2021-04-13,Italy,Johnson&Johnson,2
2021-04-13,Italy,Oxford/AstraZeneca,101394
2021-04-14,Italy,Pfizer/BioNTech,237111
2021-04-14,Italy,Johnson&Johnson,1
2021-04-14,Italy,Oxford/AstraZeneca,91085
2021-04-15,Italy,Pfizer/BioNTech,252272
2021-04-15,Italy,Johnson&Johnson,1
2021-04-15,Italy,Oxford/AstraZeneca,107929
2021-04-16,Italy,Pfizer/BioNTech,229512
2021-04-16,Italy,Johnson&Johnson,0
2021-04-16,Italy,Oxford/AstraZeneca,109167
2021-04-17,Italy,Pfizer/BioNTech,156132
2021-04-17,Italy,Johnson&Johnson,0
2021-04-17,Italy,Oxford/AstraZeneca,73207
2021-04-18,Italy,Pfizer/BioNTech,198132
2021-04-18,Italy,Johnson&Johnson,2
2021-04-18,Italy,Oxford/AstraZeneca,96650
2021-04-19,Italy,Pfizer/BioNTech,213625
2021-04-19,Italy,Johnson&Johnson,1
2021-04-19,Italy,Oxford/AstraZeneca,97406
2021-04-20,Italy,Pfizer/BioNTech,241954
2021-04-20,Italy,Johnson&Johnson,4
2021-04-20,Italy,Oxford/AstraZeneca,102405
2021-04-21,Italy,Pfizer/BioNTech,275598
2021-04-21,Italy,Johnson&Johnson,291
2021-04-21,Italy,Oxford/AstraZeneca,91803
2021-04-22,Italy,Pfizer/BioNTech,276781
2021-04-22,Italy,Johnson&Johnson,545
2021-04-22,Italy,Oxford/AstraZeneca,96644
2021-04-23,Italy,Pfizer/BioNTech,248331
2021-04-23,Italy,Johnson&Johnson,3039
2021-04-23,Italy,Oxford/AstraZeneca,94063
2021-04-24,Italy,Pfizer/BioNTech,150814
2021-04-24,Italy,Johnson&Johnson,8753
2021-04-24,Italy,Oxford/AstraZeneca,76035
2021-04-25,Italy,Pfizer/BioNTech,232260
2021-04-25,Italy,Johnson&Johnson,9362
2021-04-25,Italy,Oxford/AstraZeneca,64879
2021-04-26,Italy,Pfizer/BioNTech,243439
2021-04-26,Italy,Johnson&Johnson,9825
2021-04-26,Italy,Oxford/AstraZeneca,68050
2021-04-27,Italy,Pfizer/BioNTech,269584
2021-04-27,Italy,Johnson&Johnson,8951
2021-04-27,Italy,Oxford/AstraZeneca,77397
2021-04-28,Italy,Pfizer/BioNTech,377127
2021-04-28,Italy,Johnson&Johnson,10131
2021-04-28,Italy,Oxford/AstraZeneca,89293
2021-04-29,Italy,Pfizer/BioNTech,380348
2021-04-29,Italy,Johnson&Johnson,14636
2021-04-29,Italy,Oxford/AstraZeneca,86522
2021-04-30,Italy,Pfizer/BioNTech,305988
2021-04-30,Italy,Johnson&Johnson,17854
2021-04-30,Italy,Oxford/AstraZeneca,68026
2021-05-01,Italy,Pfizer/BioNTech,263761
2021-05-01,Italy,Johnson&Johnson,11591
2021-05-01,Italy,Oxford/AstraZeneca,64702
2021-05-02,Italy,Pfizer/BioNTech,269129
2021-05-02,Italy,Johnson&Johnson,11877
2021-05-02,Italy,Oxford/AstraZeneca,92292
2021-05-03,Italy,Pfizer/BioNTech,263906
2021-05-03,Italy,Johnson&Johnson,12154
2021-05-03,Italy,Oxford/AstraZeneca,116897
2021-05-04,Italy,Pfizer/BioNTech,292070
2021-05-04,Italy,Johnson&Johnson,14355
2021-05-04,Italy,Oxford/AstraZeneca,125489
2021-05-05,Italy,Pfizer/BioNTech,348671
2021-05-05,Italy,Johnson&Johnson,13029
2021-05-05,Italy,Oxford/AstraZeneca,112030
2021-05-06,Italy,Pfizer/BioNTech,374798
2021-05-06,Italy,Johnson&Johnson,12557
2021-05-06,Italy,Oxford/AstraZeneca,105702
2021-05-07,Italy,Pfizer/BioNTech,332196
2021-05-07,Italy,Johnson&Johnson,17235
2021-05-07,Italy,Oxford/AstraZeneca,104342
2021-05-08,Italy,Pfizer/BioNTech,250837
2021-05-08,Italy,Johnson&Johnson,9040
2021-05-08,Italy,Oxford/AstraZeneca,91438
2021-05-09,Italy,Pfizer/BioNTech,282945
2021-05-09,Italy,Johnson&Johnson,8133
2021-05-09,Italy,Oxford/AstraZeneca,109021
2021-05-10,Italy,Pfizer/BioNTech,279131
2021-05-10,Italy,Johnson&Johnson,10094
2021-05-10,Italy,Oxford/AstraZeneca,103365
2021-05-11,Italy,Pfizer/BioNTech,313321
2021-05-11,Italy,Johnson&Johnson,8999
2021-05-11,Italy,Oxford/AstraZeneca,101354
2021-05-12,Italy,Pfizer/BioNTech,380487
2021-05-12,Italy,Johnson&Johnson,8281
2021-05-12,Italy,Oxford/AstraZeneca,92916
2021-05-13,Italy,Pfizer/BioNTech,399896
2021-05-13,Italy,Johnson&Johnson,8183
2021-05-13,Italy,Oxford/AstraZeneca,97891
2021-05-14,Italy,Pfizer/BioNTech,375942
2021-05-14,Italy,Johnson&Johnson,17971
2021-05-14,Italy,Oxford/AstraZeneca,96547
2021-05-15,Italy,Pfizer/BioNTech,279486
2021-05-15,Italy,Johnson&Johnson,16262
2021-05-15,Italy,Oxford/AstraZeneca,79414
2021-05-16,Italy,Pfizer/BioNTech,323516
2021-05-16,Italy,Johnson&Johnson,18010
2021-05-16,Italy,Oxford/AstraZeneca,81020
2021-05-17,Italy,Pfizer/BioNTech,301444
2021-05-17,Italy,Johnson&Johnson,18217
2021-05-17,Italy,Oxford/AstraZeneca,97728
2021-05-18,Italy,Pfizer/BioNTech,312742
2021-05-18,Italy,Johnson&Johnson,18465
2021-05-18,Italy,Oxford/AstraZeneca,101756
2021-05-19,Italy,Pfizer/BioNTech,404029
